Title,Year,Directors,Rating,WatchedDate,Review
Fantasia 2000,1999,"James Algar,Hendel Butoy,Francis Glebas,Eric Goldberg,Don Hahn,Pixote Hunt,Gaëtan Brizzi,Paul Brizzi",3.0,2018-10-12,"Hearing ""Rhapsody in Blue"" since again brought so much happiness and tears, so that alone already elevated the experience. I also liked the animated video accompanying it. The Firebird final animation also stood out for me. Overall it was a really nice experience, but something about it didn't feel as exceptional as you'd hope it to be."
Dagvlinder,1967,Luis Buñuel,4.0,2025-05-31,"Catherine Deneuve acts her double-life perfectly. Séverine is such a complex character! Her  a seemingly fragile, silent personality allows for the interesting contrast with her sexual, ""lost"" side. The least extravagant Buñuel I've seen so far, which did require my expectations to switch modes, but a wonderful piece of cinema, no doubt."
The Lost Weekend,1945,Billy Wilder,3.0,2022-05-06,"This feels like a very progressive film for its time to me, utilizing a film-noir style creatively to support a sophisticated blend of comedy and drama, as a result providing both laughter and sadness. The story is timeless and acted out well."
Hereditary,2018,Ari Aster,4.0,2024-12-09,"Expecting a genre cliche, I could hardly believe what hit me. Certainly, many cliches were there, yet crafted masterfully, and the way they constitute the complex and full style proves ASTER is a true virtuoso. I have seldomly seen such an intense film, traumatizing the watcher with vivid hysterics that hit you out of the blue. It's creative, mysteriously vague and layered with interesting metaphors. Great film."
The Discreet Charm of the Bourgeoisie,1972,Luis Buñuel,4.0,2018-10-07,"Boy did I have fun watching this. A wonderfully sharp and playful satire of the elitist lifestyle, pretty much completely ridiculing it. The surrealistic touch has been mixed in properly to enrichen the experience, without leaving a trace of the sense of style inconsistency. Most of all the humor is just top-notch! It's wonderfully cynical, dry and subtle. Fantastic film."
Female Vampire,1973,Jesús Franco,2.0,2018-09-15,"Even though I think this film isn't as deep as it thinks it is, it has certainly convinced me it's more than a cheap cover-up for a porn film. I did at times get caught in the magical, erotic atmosphere, thanks to the soundtrack and minimal presence of dialogue. In the end though, I was often bored and can't deny Lina Romay's beauty was a major reason to keep watching."
The White Ribbon,2009,Michael Haneke,4.0,2025-03-26,"Not many people can make you feel as emotionally disgusted as Haneke can. Nothing of the cheap kind of however. This is a deep film which touches cleverly on the psychology of punishment (of children) and religious customs. Astonishingly, everyone, despite their deeds, is so pitifully human. The beautiful black and white production fully immersed me in this wicked tale. One of Haneke's most stylistic films I'd say."
The Spy Who Came in from the Cold,1965,Martin Ritt,4.0,2018-09-15,"Wonderful film, both deep and entertaining. I particularly loved Leamas, whose cynical character is so well-portrayed and psychologically profound. His entire character just radiates nihilism, yet finds purpose in the eternal waiting, the game one plays as a spy. This film made me look into the psyche of a spy like no film did before. Highly recommended work of art."
Ecstasy of Order: The Tetris Masters,2011,Adam Cornelius,3.0,2018-08-24,"Really cool documentary which shows how nice gaming communities can be. Also, the passion and obtained skill have made me appreciate speedrunners more in general. Very nicely done."
Het vreselijk ontwaken,1971,Ted Kotcheff,5.0,2021-10-31,"I watched this in complete astonishment and awe. It's incredible how quickly things turn increasingly bizarre. An exceptionally funny film too, with the reverential status of beer and the incessant drunken adventures. Yet despite all the madness, the film is a deep, genuine exploration of the thin line between nihilistic chaos and civil life. To quote Doc: ""Affectability... progress... are vanities spawned by fear""."
No,2012,Pablo Larraín,4.0,2024-12-09,"A nice way to learn about politics is through film, where sensory experience accompanies the gathering of information. This film did this job perfectly: it has succeeded in celebrating this great event in recent history, meanwhile entertaining you using the absurdity of it all. There's also a deeper message I get from this film: sometimes, the rhetorical approach beats the honest, factual one. Time for me to grow up."
Still Walking,2008,Hirokazu Koreeda,3.0,2018-08-17,"Very clean, dramatic cinema which is driven almost completely by acting, enabled greatly by the social situation the characters find themselves in. The film provides a really vivid account of (part of) Japanese culture and social etiquette. This slightly dry content is enriched by a serene, ambient style, consisting of tranquil shots and soothing, acoustic guitar music. Nice film."
Gertrud,1964,Carl Theodor Dreyer,3.0,2018-08-17,"In many regards this is clearly a Dreyer film: the existential crisis of Gertrud for instance, and the theatrical, poetic acting in the film. However, it couldn't completely captivate me for some reason. In a way it felt like, for me, the relative modernity of the film conflicted with the theatrical style elements. I did really love the story and theme though, and Gertud's open-minded and interesting choices in life."
The Andromeda Strain,1971,Robert Wise,4.0,2022-12-19,"A unique film which succeeded in turning dry, realistic scientific research into an interesting 'solve the mystery' kind of adventure. The style is great too, with the obscure synthesizer soundtrack and simple, solid-colored decor. The characters are quite typical on the one hand, but the film manages to mix in the right kind of self-mocking humor to put that to its advantage. Sci-fi classic!"
De dag des oordeels,1943,Carl Theodor Dreyer,4.0,2020-12-20,"Dreyer is on his way to become one of my favorite directors. Repeatedly he shows great skill in treating conflict regarding religion and human psychology, all set against neat historical depictions of earlier ways of life. The dry style puts focus on the complex psychology at play, as seen clearly in this film. How the religious mind can dwell is often beyond my comprehension, and Dreyer captures just that."
The Night of the Hunter,1955,Charles Laughton,4.0,2026-05-12,"This is a wonderful film in so many ways. The photography is beautiful, the ethics deceivingly complex, and most importantly: the adventure is amazing. I'd expect this film to be able to appeal to young children too, mainly because of the acting and the romantic approach in which the tale is shown, which gives the film its strong warmth."
Wild Tales,2014,Damián Szifrón,4.0,2018-07-29,"Wonderful concept for a film, and actually very funny too. These shorts remind me of Roald Dahl's short stories, which are similarly witty and darkly comical. Highly recommended to anyone with a great sense of humor who wishes to see something fresh."
